Date,Temp1,Humidity,Atmospheric_pressure,Wind_speed,Cloudiness
27/04/2000,23.6,97.0,1005.6,0.0,8.0
27/04/2000,23.6,98.0,1009.3,0.0,10.0
27/04/2000,30.0,67.0,1008.1,0.0,6.0
28/04/2000,26.8,85.0,1008.3,0.0,5.0
28/04/2000,24.2,94.0,1010.3,1.0,10.0
28/04/2000,26.8,76.0,1007.3,1.0,10.0
29/04/2000,25.2,94.0,1007.5,0.0,4.0
29/04/2000,24.8,95.0,1009.7,0.0,10.0
29/04/2000,27.4,80.0,1006.6,0.0,6.0
30/04/2000,25.2,94.0,1006.2,0.0,6.0
30/04/2000,24.8,98.0,1009.7,0.0,8.0
30/04/2000,30.1,72.0,1006.1,0.0,8.0
01/05/2000,25.6,88.0,1006.9,0.0,6.0
01/05/2000,26.2,85.0,1008.7,2.0,8.0
01/05/2000,29.2,74.0,1005.6,2.0,8.0
02/05/2000,26.2,89.0,1005.9,0.0,2.0
02/05/2000,26.6,84.0,1007.6,0.0,6.0
02/05/2000,32.2,62.0,1004.9,2.0,4.0
03/05/2000,27.0,89.0,1004.4,0.0,0.0
03/05/2000,27.6,90.0,1008.4,0.0,6.0
03/05/2000,29.0,76.0,1004.4,0.0,9.0
04/05/2000,26.6,82.0,1004.4,0.0,0.0
04/05/2000,27.6,82.0,1006.3,0.0,1.0
04/05/2000,32.2,61.0,1003.9,2.0,4.0
05/05/2000,28.0,83.0,1003.8,0.0,2.0
05/05/2000,25.6,97.0,1007.2,0.0,10.0
05/05/2000,28.0,83.0,1005.8,2.0,8.0
06/05/2000,24.2,94.0,1005.4,0.0,6.0
06/05/2000,24.2,95.0,1007.8,0.0,10.0
06/05/2000,24.0,93.0,1006.4,0.0,10.0
07/05/2000,24.6,92.0,1007.2,0.0,8.0
07/05/2000,24.0,95.0,1008.2,0.0,10.0
07/05/2000,27.3,76.0,1006.4,1.0,10.0
08/05/2000,25.8,88.0,1006.8,0.0,3.0
08/05/2000,25.0,95.0,1009.4,0.0,10.0
08/05/2000,29.0,74.0,1008.2,1.0,4.0
09/05/2000,26.6,88.0,1008.0,0.0,8.0
09/05/2000,23.2,98.0,1011.3,0.0,10.0
09/05/2000,30.2,69.0,1007.9,2.0,6.0
10/05/2000,27.0,85.0,1008.1,0.0,0.0
10/05/2000,26.6,92.0,1009.9,0.0,8.0
10/05/2000,32.4,61.0,1006.3,1.0,6.0
11/05/2000,25.0,89.0,1007.6,0.0,8.0
11/05/2000,26.0,92.0,1009.4,0.0,6.0
11/05/2000,30.6,67.0,1005.8,0.0,6.0
12/05/2000,27.2,87.0,1006.1,0.0,0.0
12/05/2000,25.4,94.0,1007.9,2.0,10.0
12/05/2000,24.8,97.0,1004.7,0.0,10.0
13/05/2000,25.8,92.0,1006.3,0.0,6.0
13/05/2000,25.6,91.0,1008.5,0.0,8.0
13/05/2000,28.2,85.0,1005.7,1.0,8.0
14/05/2000,24.6,95.0,1005.9,0.0,10.0
14/05/2000,26.4,89.0,1009.9,0.0,6.0
14/05/2000,31.2,66.0,1005.4,1.0,6.0
15/05/2000,27.0,85.0,1006.0,0.0,0.0
15/05/2000,27.6,84.0,1007.5,0.0,6.0
15/05/2000,28.2,84.0,1004.7,2.0,8.0
16/05/2000,26.0,91.0,1005.3,0.0,6.0
16/05/2000,25.4,91.0,1007.2,2.0,10.0
16/05/2000,27.2,80.0,1005.0,1.0,10.0
17/05/2000,26.4,89.0,1005.6,0.0,4.0
17/05/2000,25.2,91.0,1008.8,0.0,10.0
17/05/2000,26.0,86.0,1007.4,2.0,10.0
18/05/2000,24.6,94.0,1007.5,0.0,4.0
18/05/2000,24.8,97.0,1009.4,0.0,10.0
18/05/2000,32.2,61.0,1007.7,2.0,8.0
19/05/2000,27.4,82.0,1006.4,0.0,6.0
19/05/2000,27.0,81.0,1009.5,0.0,10.0
19/05/2000,27.0,84.0,1007.2,1.0,10.0
20/05/2000,25.2,91.0,1007.5,0.0,10.0
20/05/2000,24.6,95.0,1008.8,0.0,10.0
20/05/2000,25.2,95.0,1008.8,0.0,10.0
21/05/2000,24.6,95.0,1009.4,0.0,10.0
21/05/2000,25.2,98.0,1011.2,0.0,8.0
21/05/2000,31.0,66.0,1008.2,2.0,6.0
22/05/2000,25.6,89.0,1009.1,0.0,0.0
22/05/2000,25.6,92.0,997.5,1.0,10.0
22/05/2000,30.6,67.0,1008.4,1.0,8.0
23/05/2000,25.6,94.0,1009.7,0.0,8.0
23/05/2000,25.6,91.0,1011.5,0.0,6.0
23/05/2000,31.8,65.0,1008.7,1.0,6.0
24/05/2000,26.4,83.0,1008.8,0.0,4.0
24/05/2000,26.0,97.0,1012.2,0.0,10.0
24/05/2000,32.4,65.0,1007.4,2.0,8.0
25/05/2000,24.4,95.0,1009.9,0.0,8.0
25/05/2000,26.2,89.0,1009.3,0.0,2.0
25/05/2000,31.8,67.0,1006.8,2.0,4.0
26/05/2000,26.2,89.0,1007.2,0.0,0.0
26/05/2000,26.4,89.0,1009.0,0.0,8.0
26/05/2000,32.0,64.0,1007.5,1.0,4.0
27/05/2000,27.4,88.0,1007.0,0.0,8.0
27/05/2000,25.8,95.0,1009.8,0.0,9.0
27/05/2000,30.2,67.0,1005.7,0.0,10.0
28/05/2000,26.6,88.0,1008.2,0.0,6.0
28/05/2000,26.0,88.0,1008.8,0.0,6.0
28/05/2000,30.0,70.0,1006.1,0.0,8.0
29/05/2000,27.4,87.0,1005.5,0.0,2.0
29/05/2000,26.0,91.0,1007.4,0.0,8.0
29/05/2000,30.2,69.0,1004.8,0.0,10.0
30/05/2000,24.2,94.0,1006.7,0.0,10.0
